marca;alimentazione;aspirazione;carrozzeria;trazione;posizMotore;distAssi;lunghezza;larghezza;altezza;peso;cilindrata;compressione;HP;giriMax;percorrUrbana;percorrStrada;Ncilindri
alfa-romeo;benz;std;convertible;rwd;front;225;428.8;162.8;124;1155.8;2.1303;9;111;5000;8.928;11.479;4
alfa-romeo;benz;std;convertible;rwd;front;225;428.8;162.8;124;1155.8;2.1303;9;111;5000;8.928;11.479;4
alfa-romeo;benz;std;hatchback;rwd;front;240;434.8;166.4;133.1;1280.5;2.4908;9;154;5000;8.078;11.053;6
audi;benz;std;sedan;fwd;front;253.5;448.6;168.1;137.9;1060.1;1.7862;10;102;5500;10.203;12.754;4
audi;benz;std;sedan;4wd;front;252.5;448.6;168.7;137.9;1281;2.2286;8;115;5500;7.652;9.353;5
audi;benz;std;sedan;fwd;front;253.5;450.3;168.4;134.9;1137.2;2.2286;8.5;110;5500;8.078;10.628;5
audi;benz;std;sedan;fwd;front;268.7;489.5;181.4;141.5;1290;2.2286;8.5;110;5500;8.078;10.628;5
audi;benz;std;wagon;fwd;front;268.7;489.5;181.4;141.5;1339.9;2.2286;8.5;110;5500;8.078;10.628;5
audi;benz;turbo;sedan;fwd;front;268.7;489.5;181.4;142;1399.8;2.1467;8.3;140;5500;7.227;8.503;5
audi;benz;turbo;hatchback;4wd;front;252.7;452.6;172.5;132.1;1384.8;2.1467;7;160;5500;6.802;9.353;5
bmw;benz;std;sedan;rwd;front;257;449.1;164.6;137.9;1086.4;1.7698;8.8;101;5800;9.778;12.329;4
bmw;benz;std;sedan;rwd;front;257;449.1;164.6;137.9;1086.4;1.7698;8.8;101;5800;9.778;12.329;4
bmw;benz;std;sedan;rwd;front;257;449.1;164.6;137.9;1229.3;2.6875;9;121;4250;8.928;11.904;6
bmw;benz;std;sedan;rwd;front;257;449.1;164.6;137.9;1254.2;2.6875;9;121;4250;8.928;11.904;6
bmw;benz;std;sedan;rwd;front;262.9;480.1;169.9;141.5;1385.7;2.6875;9;121;4250;8.503;10.628;6
bmw;benz;std;sedan;rwd;front;262.9;480.1;169.9;141.5;1465.1;3.4249;8;182;5400;6.802;9.353;6
bmw;benz;std;sedan;rwd;front;262.9;492.3;172.5;136.4;1533.2;3.4249;8;182;5400;6.802;9.353;6
bmw;benz;std;sedan;rwd;front;279.4;500.4;180.1;143;1589.9;3.4249;8;182;5400;6.377;8.503;6
chevrolet;benz;std;hatchback;fwd;front;224.5;358.4;153.2;135.1;675;0.9996;9.5;48;5100;19.981;22.532;3
chevrolet;benz;std;hatchback;fwd;front;240;396;161.5;132.1;850;1.4748;9.6;70;5400;16.155;18.281;4
chevrolet;benz;std;sedan;fwd;front;240;403.4;161.5;132.1;865.9;1.4748;9.6;70;5400;16.155;18.281;4
dodge;benz;std;hatchback;fwd;front;238;399.5;162.1;129;851;1.4748;9.41;68;5500;15.73;17.43;4
dodge;benz;std;hatchback;fwd;front;238;399.5;162.1;129;851;1.4748;9.4;68;5500;13.179;16.155;4
dodge;benz;turbo;hatchback;fwd;front;238;399.5;162.1;129;965.3;1.6059;7.6;102;5500;10.203;12.754;4
dodge;benz;std;hatchback;fwd;front;238;399.5;162.1;128.5;892.2;1.4748;9.4;68;5500;13.179;16.155;4
dodge;benz;std;sedan;fwd;front;238;399.5;162.1;128.5;902.2;1.4748;9.4;68;5500;13.179;16.155;4
dodge;benz;std;sedan;fwd;front;238;399.5;162.1;128.5;902.2;1.4748;9.4;68;5500;13.179;16.155;4
dodge;benz;turbo;sedan;fwd;front;238;399.5;162.1;128.5;993.8;1.6059;7.6;102;5500;10.203;12.754;4
dodge;benz;std;wagon;fwd;front;262.4;443.5;164.1;151.9;1149.9;1.9992;8.5;88;5000;10.203;12.754;4
dodge;benz;turbo;hatchback;fwd;front;243.6;439.9;168.4;127.5;1275.1;2.5564;7;145;5000;8.078;10.203;4
honda;benz;std;hatchback;fwd;front;220;367.3;162.3;129;777;1.5076;9.6;58;4800;20.832;22.957;4
honda;benz;std;hatchback;fwd;front;220;367.3;162.3;129;825.1;1.5076;9.2;76;6000;13.179;16.155;4
honda;benz;std;hatchback;fwd;front;238;381;162.6;133.6;833.3;1.2946;10.1;60;5500;16.155;17.856;4
honda;benz;std;hatchback;fwd;front;238;381;162.6;133.6;880;1.5076;9.2;76;6000;12.754;14.455;4
honda;benz;std;hatchback;fwd;front;238;381;162.6;133.6;887.2;1.5076;9.2;76;6000;12.754;14.455;4
honda;benz;std;sedan;fwd;front;245.1;415;162.6;138.4;911.7;1.5076;9.2;76;6000;12.754;14.455;4
honda;benz;std;wagon;fwd;front;245.1;399;162.3;148.1;918.1;1.5076;9.2;76;6000;12.754;14.455;4
honda;benz;std;hatchback;fwd;front;245.1;425.4;165.6;135.4;1014.2;1.8026;9;86;5800;11.479;14.029;4
honda;benz;std;hatchback;fwd;front;245.1;425.4;165.6;135.4;1038.3;1.8026;9;86;5800;11.479;14.029;4
honda;benz;std;sedan;fwd;front;245.1;445.5;165.6;137.4;1045.1;1.8026;9;86;5800;11.479;14.029;4
honda;benz;std;sedan;fwd;front;245.1;445.5;158.8;137.4;1075.9;1.8026;9;86;5800;11.479;14.029;4
honda;benz;std;sedan;fwd;front;245.1;445.5;165.6;137.4;1118.1;1.8026;9;101;5800;10.203;11.904;4
honda;benz;std;sedan;fwd;front;245.1;429.5;167.6;129.5;1040.1;1.8026;9.1;100;5500;10.628;13.179;4
isuzu;benz;std;sedan;rwd;front;239.5;433.6;157;135.9;1060.1;1.819;8.5;78;4800;10.203;12.329;4
isuzu;benz;std;sedan;fwd;front;240;396;161.5;132.1;850;1.4748;9.6;70;5400;16.155;18.281;4
isuzu;benz;std;sedan;fwd;front;240;396;161.5;132.1;865.9;1.4748;9.6;70;5400;16.155;18.281;4
isuzu;benz;std;hatchback;rwd;front;243.8;438.4;165.6;130.6;1240.1;1.9501;9.2;90;5000;10.203;12.329;4
jaguar;benz;std;sedan;rwd;front;287;507;176.8;134.1;1844.3;4.2279;8.1;176;4750;6.377;8.078;6
jaguar;benz;std;sedan;rwd;front;287;507;176.8;134.1;1844.3;4.2279;8.1;176;4750;6.377;8.078;6
jaguar;benz;std;sedan;rwd;front;259.1;486.9;179.3;121.4;1791.7;5.3422;11.5;262;5000;5.527;7.227;12
mazda;benz;std;hatchback;fwd;front;236.5;404.1;163.1;137.4;857.3;1.4912;9;68;5000;12.754;13.179;4
mazda;benz;std;hatchback;fwd;front;236.5;404.1;163.1;137.4;861.8;1.4912;9;68;5000;13.179;16.155;4
mazda;benz;std;hatchback;fwd;front;236.5;404.1;163.1;137.4;864.1;1.4912;9;68;5000;13.179;16.155;4
mazda;benz;std;sedan;fwd;front;236.5;423.7;163.1;137.4;882.3;1.4912;9;68;5000;13.179;16.155;4
mazda;benz;std;sedan;fwd;front;236.5;423.7;163.1;137.4;884.5;1.4912;9;68;5000;13.179;16.155;4
mazda;benz;std;hatchback;rwd;front;242.1;429.3;166.9;126;1079.6;1.1471;9.4;101;6000;7.227;9.778;2
mazda;benz;std;hatchback;rwd;front;242.1;429.3;166.9;126;1079.6;1.1471;9.4;101;6000;7.227;9.778;2
mazda;benz;std;hatchback;rwd;front;242.1;429.3;166.9;126;1081.8;1.1471;9.4;101;6000;7.227;9.778;2
mazda;benz;std;hatchback;rwd;front;242.1;429.3;166.9;126;1134;1.311;9.4;135;6000;6.802;9.778;2
